source,destination,methode,original_bytes,compresse_bytes,gain_%,statut,duree_s,erreur
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/01-03_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-VERSET-59.mp3,audio_drkindo_opus/01-03_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-VERSET-59.opus,.mp3 -> .opus,22741194,23205979,-2.04,converted,104.72,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/02-04_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-59-A-62.mp3,audio_drkindo_opus/02-04_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-59-A-62.opus,.mp3 -> .opus,23199068,23867032,-2.88,converted,106.74,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/03-05_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-63-A-65.mp3,audio_drkindo_opus/03-05_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-63-A-65.opus,.mp3 -> .opus,24802986,25250376,-1.80,converted,118.92,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/04-06_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-66-A-70.mp3,audio_drkindo_opus/04-06_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-66-A-70.opus,.mp3 -> .opus,21070996,21538982,-2.22,converted,97.41,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/05-07_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-71-A-73.mp3,audio_drkindo_opus/05-07_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-71-A-73.opus,.mp3 -> .opus,23075143,23605715,-2.30,converted,109.39,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/06-09_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-73-A-74.mp3,audio_drkindo_opus/06-09_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-73-A-74.opus,.mp3 -> .opus,25422996,25640811,-0.86,converted,117.65,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/07-10_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-75-A-82.mp3,audio_drkindo_opus/07-10_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-75-A-82.opus,.mp3 -> .opus,23207009,23595777,-1.68,converted,104.76,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/08-11_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-82-A-84.mp3,audio_drkindo_opus/08-11_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-82-A-84.opus,.mp3 -> .opus,22575055,22620087,-0.20,converted,104.11,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/09-12_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-84-A-85.mp3,audio_drkindo_opus/09-12_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-84-A-85.opus,.mp3 -> .opus,23739071,23723199,0.07,converted,131.11,
/run/media/moumine/DATA/muslim_project/audio_drkindo/41-TAFSIR-2022/10-13_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-86-A-89.mp3,audio_drkindo_opus/10-13_04_2022-TAFSIR-DR-MOHAMMAD-ISHAQ-KINDO-A-ZANGUETIN-SOURATE-06-AL-AN@AM-LES-TROUPEAUX-LE-BETAIL-SUITE-VERSET-86-A-89.opus,.mp3 -> .opus,24427032,25118504,-2.83,converted,131.68,
